question_da,answer_da,Källa FAQ / AI
Hvilke farver er tilgængelige i Lava-serien?,"De følgende farver er tilgængelige i Lava:
  - Etna
  - Marsili
  - Salina
  - Vesuvio",AI/Cache
Hvilke farver er tilgængelige i Albero-serien?,"Følgende farver er tilgængelige i Albero-serien: Gelso, Mandorlo, Nocciolo",AI/Cache
Hvilke farver er tilgængelige i Alpine-serien?,"De følgende farver er tilgængelige i Alpine-serien: Bocote, Cobolo, Mix Dark Chevry",AI/Cache
Hvilke farver er tilgængelige i Anniversario-serien?,"Følgende farver er tilgængelige i Anniversario:
  - Gray
  - Light gray
  - Dark gray",AI/Cache
Hvilke farver er tilgængelige i Antique-serien?,"Følgende farver er tilgængelige i Antique-serien: Dune Carved, Nuit Carved, Opal Carved",AI/Cache
Hvilke farver er tilgængelige i Ardesia-serien?,"Følgende farver er tilgængelige i Ardesia-serien: Bianco, Cenere, Grigio",AI/Cache
Hvilke farver er tilgængelige i Argresia-serien?,"Følgende farver er tilgængelige i Argresia:
  - Svart",AI/Cache
Hvilke farver er tilgængelige i Beton-serien?,"Følgende farver er tilgængelige i Beton-serien: Cemento, Cenere, Sandalo",AI/Cache
Hvilke farver er tilgængelige i Cemento-serien?,"Følgende farver er tilgængelige i Cemento-serien: Clay, Grit, Land",AI/Cache
Hvilke farver er tilgængelige i Cortina-serien?,"Følgende farver er tilgængelige i Cortina-serien: Basalto, Calcite, Cenere",AI/Cache
Hvilke farver er tilgængelige i Grotta-serien?,"Følgende farver er tilgængelige i Grotta-serien: Porfido, Silver Black, Silver White",AI/Cache
Hvilke farver er tilgængelige i Iris-serien?,"Følgende farver er tilgængelige i Iris-serien: Astra, Crono, Geo",AI/Cache
Hvilke farver er tilgængelige i Kvarts-serien?,"Følgende farver er tilgængelige i Kvarts:
  - Grå",AI/Cache
Hvilke farver er tilgængelige i Manhattan-serien?,"Følgende farver er tilgængelige i Manhattan:
  - Midtown
  - Nolita
  - Soho
  - Tribeca",AI/Cache
Hvilke farver er tilgængelige i Materia-serien?,"Følgende farver er tilgængelige i Materia:
  - Upcendre
  - Upcharbon
  - Upcrete
  - Upivoire",AI/Cache
Hvilke farver er tilgængelige i Meteo-serien?,"Følgende farver er tilgængelige i Meteo:
  - Dark
  - Fog
  - Salt
  - Sand",AI/Cache
Hvilke farver er tilgængelige i Mista-serien?,"Følgende farver er tilgængelige i Mista:
  - Agate
  - Pearl
  - Shell
  - Tahiti",AI/Cache
Hvilke farver er tilgængelige i Nature-serien?,"Følgende farver er tilgængelige i Nature-serien: Nut, Nut Doga, Oak",AI/Cache
Hvilke farver er tilgængelige i Nordique-serien?,"Følgende farver er tilgængelige i Nordique-serien: Evo Greyge, Evo Gris Fonce, Evo Noir",AI/Cache
Hvilke farver er tilgængelige i Quartz-serien?,"De følgende farver er tilgængelige i Quartz:
  - Antracite
  - Diaspro
  - Madera
  - Prasio",AI/Cache
Hvilke farver er tilgængelige i Roccia-serien?,"Følgende farver er tilgængelige i Roccia:
  - Antracite
  - Cream
  - Light Grey
  - Mud",AI/Cache
Hvilke farver er tilgængelige i Slate-serien?,"Følgende farver er tilgængelige i Slate:
  - Bly
  - Grafite
  - Grå",AI/Cache
Hvilke farver er tilgængelige i Stella-serien?,"Følgende farver er tilgængelige i Stella:
  - Bone
  - Cement
  - Plomb",AI/Cache
Hvilke farver er tilgængelige i Stone-serien?,"Følgende farver er tilgængelige i Stone:
  - Landstone
  - Nightstone
  - Silverstone
  - Sunstone",AI/Cache
Hvilke farver er tilgængelige i Strada-serien?,"De følgende farver er tilgængelige i Strada:
  - Saint Luois
  - Santa Fe'
  - Santa Monica",AI/Cache
Hvilke farver er tilgængelige i Travertin-serien?,"Følgende farver er tilgængelige i Travertin:
  - Beige",AI/Cache
Hvilke farver er tilgængelige i Trentino-serien?,"Følgende farver er tilgængelige i Trentino-serien: Avana, Canapa, Lino",AI/Cache
Hvilke farver er tilgængelige i Vintage-serien?,"Følgende farver er tilgængelige i Vintage:
  - Bruges
  - Gent
  - Namur",AI/Cache
Hvilke farver er tilgængelige i Konjak-serien?,"De følgende farver er tilgængelige i Konjak:
  - Konjak",AI/Cache
Hvilke størrelser fås klinkerdäck® i?,Fliserne fås i flere forskellige standardstørrelser. Se vores produktkatalog for aktuelle størrelser.,AI/Cache
Hvilke farver er tilgængelige?,"Vi tilbyder flere farver, såsom grå, sort og beige.",AI/Cache
Hvad vejer en tallerken?,En plade vejer i gennemsnit 16–64 kg afhængigt af størrelsen.,AI/Cache
Hvilket materiale er klinkerdäck® lavet af?,Fliserne er lavet af keramisk materiale med høj styrke.,AI/Cache
Har fliserne nogen CE-mærkning?,"Ja, klinkerdäck® er CE-mærket og overholder de gældende byggestandarder.",AI/Cache
"Er der forskellige overfladeteksturer (glat, struktureret)?","Ja, både glatte og teksturerede overflader er tilgængelige.",AI/Cache
Er der tekniske datablad tilgængelige for download?,"Ja, tekniske datablad er tilgængelige som PDF'er på vores hjemmeside.",AI/Cache
Er fliserne modstandsdygtige over for kemikalier?,"Ja, klinkerdäck® tåler almindelige husholdningskemikalier uden problemer.",AI/Cache
Hvilke tolerancer gælder for dimensioner og form?,Tolerancerne følger den europæiske standard for keramiske udendørsfliser.,AI/Cache
Kan du lægge fliserne direkte på grus?,"Ja, klinkerdäck® kan installeres på et stabilt grusunderlag.",AI/Cache
Skal fliserne limes under installationen?,"Nej, normalt behøver fliserne ikke at blive limet, men kan lægges løst på den passende overflade.",AI/Cache
Kan fliserne lægges på et trædæk?,"Ja, forudsat at overfladen er jævn og stabil.",AI/Cache
Kan du selv skære fliserne?,"Ja, fliserne kan skæres med en vinkelsliber og diamantklinge.",AI/Cache
Hvilke værktøjer anbefales til skæring?,Vinkelsliber med diamantklinge giver de bedste resultater.,AI/Cache
Kan fliserne placeres på en altan?,"Ja, klinkerdäck® er egnet til altaner, hvis konstruktionen er tilstrækkeligt bærende.",AI/Cache
"Skal du bruge afstandsstykker, når du lægger fliserne?","Ja, for at sikre jævne fuger anbefales afstandskryds.",AI/Cache
Kan fliserne installeres indendørs?,"Ja, klinkerdäck® kan også bruges indendørs på egnede overflader.",AI/Cache
Fungerer fliserne på skrånende overflader?,"Ja, men overfladen skal være stabil og drænet.",AI/Cache
Hvordan rengør man bedst fliserne?,Brug vand og en blød børste. Til mere genstridig snavs kan milde rengøringsmidler anvendes.,AI/Cache
Kan man bruge en højtryksrenser på fliserne?,"Ja, men vi anbefaler lavt trykniveau og en bred dyse.",AI/Cache
Skal fliserne behandles med imprægnering?,"Nej, klinkerdäck® kræver ikke imprægnering.",AI/Cache
Hvordan fjerner man mos og alger fra fliserne?,"Brug en børste og milde rengøringsmidler eller et algefjerner, der er egnet til stenoverflader.",AI/Cache
Hvordan påvirkes fliserne af salt om vinteren?,"Fliserne er generelt modstandsdygtige over for vejsalt, men overdreven brug bør undgås.",AI/Cache
"Kan fliserne misfarves af vin, olie eller andre pletter?","Pletter kan forekomme, men de går ofte af med mild rengøring.",AI/Cache
Kræves der særlig vinteropbevaring?,"Nej, klinkerdäck® kan stå udenfor året rundt.",AI/Cache
Hvad er levetiden for tallerkenerne?,"Med korrekt installation og vedligeholdelse har klinkerdäck® en meget lang levetid, ofte flere årtier.",AI/Cache
Kan fliserne slibes eller renoveres?,"Nej, fliserne er forbehandlede og kræver ikke slibning.",AI/Cache
Er fliserne skridsikre?,"Ja, klinkerdäck® har skridsikre overflader designet til udendørs brug.",AI/Cache
Er klinkerdäck® brandsikkert?,"Ja, fliserne er brandsikre og udsender ikke giftige gasser i tilfælde af brand.",AI/Cache
Kan fliserne bruges i poolområder?,"Ja, klinkerdäck® er skridsikkert og egnet til poolmiljøer.",AI/Cache
Er fliserne sikre for børn at lege på?,"Ja, overfladen er skridsikker og holdbar til børns leg.",AI/Cache
Kan ældre mennesker gå sikkert på fliserne?,"Ja, skridsikker-funktionen sikrer, at selv ældre kan gå sikkert på overfladen.",AI/Cache
Hvordan testes skridsikkerhed?,Fliserne er testet i henhold til europæiske standarder for friktion og skridsikkerhed.,AI/Cache
"Kan fliserne blive glatte, når der dannes is?","Ja, ligesom alle udendørs overflader kan de blive glatte af is, så du er velkommen til at bruge sand.",AI/Cache
Er der garanti på skridsikringen?,"Ja, skridsikker beskyttelse gælder gennem hele produktets levetid under normal brug.",AI/Cache
Kan skridsikkert tape bruges med fliserne?,"Nej, det er ikke nødvendigt, fordi overfladen allerede er skridsikker.",AI/Cache
Hvad er levetiden for klinkerdäck®?,"Fliserne har en meget lang levetid, ofte over 30 år.",AI/Cache
Er fliserne UV-resistente?,"Ja, de falmer ikke i sollys.",AI/Cache
Er fliserne modstandsdygtige over for frost og kulde?,"Ja, klinkerdäck® er frostbestandig og kræver ikke vinteropbevaring.",AI/Cache
Er fliserne modstandsdygtige over for slid?,"Ja, de er meget holdbare og velegnede til områder med høj trafik.",AI/Cache
Kan fliserne bruges i offentlige miljøer?,"Ja, klinkerdäck® er velegnet til både private og offentlige miljøer.",AI/Cache
Er fliserne modstandsdygtige over for kemikalier?,"Ja, klinkerdäck® er modstandsdygtig over for de fleste almindelige kemikalier.",AI/Cache
Er fliserne ridsefaste?,"Ja, overfladen er meget ridsefast ved normal brug.",AI/Cache
Hvordan påvirkes fliserne af tunge belastninger?,Fliserne kan modstå høje belastninger og er velegnede til udendørs miljøer med møbler.,AI/Cache
Hvad er garantiperioden for holdbarhed?,Vi tilbyder en langsigtet garanti mod revner ved normal brug.,AI/Cache
Er klinkerdäck® miljøvenligt?,"Ja, produkterne er fremstillet med miljøhensyn og er genanvendelige.",AI/Cache
Er fliserne genanvendelige?,"Ja, klinkerdäck® kan genbruges som byggemateriale.",AI/Cache
Er produkterne fremstillet i Sverige?,"Ja, dele af produktionen finder sted i Sverige med høje miljøstandarder.",AI/Cache
Kan fliserne bruges indendørs?,"Ja, klinkerdäck® kan også bruges indendørs i områder som gange og køkkener.",AI/Cache
Er klinkerdäck® egnet til poolområder?,"Ja, fliserne er skridsikre og holdbare i vådmiljøer.",AI/Cache
Kan fliserne bruges på en altan?,"Ja, klinkerdäck® er velegnet til altaner.",AI/Cache
Kan fliserne bruges i erhvervslokaler?,"Ja, klinkerdäck® fungerer også i restauranter og butikker.",AI/Cache
Hvordan påvirker produktion miljøet?,Fremstillingen udføres med miljøvenlige processer og minimeret CO2-påvirkning.,AI/Cache
Er produkterne certificeret til miljøvenligt byggeri?,"Ja, klinkerdäck® kan anvendes i miljøcertificerede byggeprojekter.",AI/Cache
Leverer I i hele Sverige?,"Ja, vi leverer i hele Sverige.",AI/Cache
Leverer I til Danmark og Tyskland?,"Ja, Danmark og Tyskland er inkluderet i vores standardleveringer.",AI/Cache
Leverer I til Finland?,"Ja, potentielt – efter anmodning. Kontakt os for et tilbud.",AI/Cache
Leverer I til Storbritannien?,Potentielt – efter anmodning og separat tilbud.,AI/Cache
Leverer I uden for EU?,Kun efter anmodning og individuel vurdering.,AI/Cache
Hvad er den normale leveringstid?,Normalt 5–10 arbejdsdage afhængigt af lagerstatus.,AI/Cache
Hvad er forsendelsesomkostningerne?,"Forsendelsesomkostningerne afhænger af vægt og destination, kontakt os venligst for et tilbud.",AI/Cache
Kan du planlægge et leveringstidspunkt?,"Ja, det er muligt at planlægge en levering mod et ekstra gebyr.",AI/Cache
Kan du selv hente fliserne på lageret?,"Ja, afhentning på lageret er mulig efter aftale.",AI/Cache
Hvad er prisen på klinkerdäck® per kvadratmeter?,"Prisen varierer afhængigt af modellen, kontakt os venligst for den aktuelle prisliste.",AI/Cache
Kan jeg få et tilbud på større projekter?,"Ja, vi giver et tilbud baseret på volumen og leveringsadresse.",AI/Cache
Tilbyder I afbetalingsordninger?,"Ja, afbetalingsbetalinger kan tilbydes gennem vores betalingspartnere.",AI/Cache
Hvad er tykkelsen på fliserne?,Den standardtykkelse er tilpasset til udendørs brug. Se det tekniske datablad for præcise mål.,AI/Cache
Er fliserne tilgængelige med en skrå kant?,"Ja, nogle modeller har let skrå kanter for en blødere fornemmelse.",AI/Cache
Hvad er kalibreringstolerancen?,Pladerne er kalibreret i henhold til den aktuelle standard. Se databladet for tolerancer.,AI/Cache
Hvilken fugebredde anbefaler I?,Typisk 3–5 mm afhængigt af overfladen og brugen.,AI/Cache
Er fliserne tilgængelige i mat eller semi-mat finish?,"Ja, flere overflader er tilgængelige – fra mat til let tekstureret.",AI/Cache
Hvordan er fliserne pakket på en palle?,Fliser leveres stablet og beskyttet på en palle. Antallet pr. palle er angivet i produktarket.,AI/Cache
Hvilke farver er de mest farvestabile over tid?,Mørkegrå og naturinspirerede farver har en tendens til at blive opfattet som stabile. Se farveprøver i dagslys for den bedste vurdering.,AI/Cache
Er produktcertifikater og testrapporter tilgængelige?,"Ja, dokumenter kan leveres efter anmodning til projekter.",AI/Cache
Hvilken hældning skal basen have for dræning?,Den anbefalede hældning er cirka 1–2% væk fra facaden for at lede vandet væk.,AI/Cache
Kan jeg lægge fliserne på en eksisterende betonplade?,"Ja, forudsat at betonen er plan, bærende og fri for revner.",AI/Cache
Skal jeg bruge et frostbeskyttelseslag under fliserne?,På udsatte steder anbefales frostbeskyttelse og et drænlag.,AI/Cache
Hvilken fugemasse anbefales mellem fliserne?,Et drænende fugesand eller polymerforstærket fuge fungerer godt udendørs.,AI/Cache
Hvordan håndterer jeg ekspansionsfuger?,Efterlad bevægelseszoner mod facaden og større områder i henhold til branchens praksis.,AI/Cache
Kan fliserne lægges på justerbare fødder?,"Ja, justerbare fødder kan bruges på tagterrasser og altaner.",AI/Cache
Hvilket mønster er det nemmeste at lægge?,Det lige mønster er det hurtigste; sildebens- og modulære mønstre kræver mere skæring.,AI/Cache
Hvordan afslutter jeg mod kanter og grænser?,Brug kantstøtte eller kantliste for at sikre fliserne mod bevægelse.,AI/Cache
Hvor ofte bør du rengøre en terrasse med klinkerdäck®?,Regelmæssig fejning og aftørring efter behov. Grundig rengøring 1-2 gange pr. sæson.,AI/Cache
Hvordan fjerner jeg olieflekker?,"Dup med sugende papir, brug derefter et mildt affedtningsmiddel egnet til sten/fliser.",AI/Cache
Kan jeg bruge eddike eller syrer til rengøring?,"Undgå stærke syrer. Brug pH-neutrale eller mildt alkaliske midler, der er godkendt til fliser.",AI/Cache
Hvordan forhindrer jeg grønne belægninger?,"Hold overfladen ren og tør, og brug algefjerner efter behov i henhold til instruktionerne.",AI/Cache
Kan jeg skovle sne med en metalskovl?,Foretræk at bruge en plastskovl for at beskytte overfladen og fugerne.,AI/Cache
Hvordan rengør jeg fugerne uden at beskadige dem?,Børst forsigtigt og undgå højt tryk direkte på leddene.,AI/Cache
Skal jeg behandle fliserne efter vinteren?,En forårsrengøring med mild rengøring er normalt tilstrækkelig.,AI/Cache
Hvordan fjerner jeg rustpletter?,"Brug en rustfjerner, der er sikker for keramiske overflader, og følg instruktionerne nøje.",AI/Cache
Bliver fliserne meget varme i direkte sollys?,Overfladen kan blive varm i stærkt sollys. Brug møbelpuder og tæpper om nødvendigt.,AI/Cache
"Er overfladen skridsikker, når den er våd?","Fliserne har en skridsikker overflade, der er velegnet til udendørs brug, selv når de er våde.",AI/Cache
Er produktet sikkert omkring grillen og gnister?,"Keramiske fliser er ikke-brændbare, men undgå langvarig punktvarme.",AI/Cache
Kan kanterne opfattes som skarpe?,"Kanterne er bearbejdet, men vær forsigtig ved skæring og håndtering.",AI/Cache
Er der anbefalinger til belysning af trappetrin?,"Ja, markér niveauforskelle med belysning eller kontraststriber for øget sikkerhed.",AI/Cache
Er fliserne egnede til gående og kørestole?,"Ja, når det er lagt korrekt på en jævn overflade, giver området god tilgængelighed.",AI/Cache
Er skridsikkerhed påvirket af pollen og snavs?,"Ja, snavs kan reducere friktion. Hold overfladen ren for det bedste greb.",AI/Cache
Er der behov for beskyttelsesudstyr under skæring?,"Brug altid høreværn, øjenbeskyttelse, åndedrætsværn og handsker, når du skærer.",AI/Cache
Hvor modstandsdygtige er fliserne over for ridser fra møbelben?,Brug møbelpuder for at reducere risikoen for mærker. Overfladen er i sig selv ridsefast.,AI/Cache
Er fliserne modstandsdygtige over for cykelstativer og børnelegetøj?,"Ja, normal daglig brug er ikke et problem med den korrekte foundation.",AI/Cache
Hvordan ændrer farven sig over tid?,Farveoplevelsen kan variere med lys og snavs. Regelmæssig rengøring bevarer udseendet.,AI/Cache
Kan tallerkenerne modstå hurtige temperaturændringer?,"Keramik tåler generelt temperaturændringer godt, når de er korrekt installeret.",AI/Cache
Kan tunge gryder og grill placeres på fliserne?,"Ja, med det korrekte fundament og fordelt belastning.",AI/Cache
Hvordan påvirkes overfladen af vejsalt?,Undgå overdreven brug af salt. Sand anbefales til is.,AI/Cache
Hvad er den forventede tekniske levetid?,Med korrekt installation og vedligeholdelse kan fliserne holde i mange årtier.,AI/Cache
Kan fliserne revne?,Korrekt forarbejde reducerer risikoen for bevægelse og revner.,AI/Cache
Er klinkerdäck® genanvendelig?,"Ja, materialet kan genbruges som byggemateriale. Lokale regler gælder.",AI/Cache
Er der en Miljøvaredeklaration (EPD)?,Dokumentation kan leveres for projekter efter anmodning.,AI/Cache
Er fliserne egnede til tagterrasser?,"Ja, især med justerbare fødder og drænlag.",AI/Cache
